QualifyingAreaName,TotalPopulation,Female,White_Male,White_Female,FreeColoredPopulation,FreeColored_Female,Slave_Male,FreePersons,FreePersons_White_Male,FreePersons_ColoredPersons,FreePersons_ColoredPersons_Female,SlavePopulation_Female,DisabledWhite_DeafandDumb,InsaneandIdioticPersons_AtPublicCharge,PersonsEmployedinMining,PersonsEmployedinCommerce,PersonsEmployedinOceanNavigation,PersonsEmployedEngineersProfessional,CollegeUniversityStudents,PrimaryCommonSchoolStudents,Male,WhitePopulation,FreeColored_Male,SlavePopulation,Slave_Female,FreePersons_White,FreePersons_White_Female,FreePersons_ColoredPersons_Male,SlavePopulation_Male,DisabledWhite,InsaneandIdioticPersons,InsaneandIdioticPersons_AtPrivateCharge,PersonsEmployedinAgriculture,PersonsEmployedinManufacturingTrade,PersonsEmployedinLandNavigation,PensionersofRevolutionaryWarorMilitaryService,AcademyGrammarSchoolStudents
"Madison County, Alabama",25706,12618,6301,5996,144,70,6713,12441,6301,144,70,6552,7,11,0,98,1,101,0,1167,13088,12297,74,13265,6552,12297,5996,74,6713,28,27,16,8528,579,15,14,125
"Marengo County, Alabama",17264,8198,2915,2435,12,2,6141,5362,2915,12,2,5761,2,1,0,22,0,30,0,201,9066,5350,10,11902,5761,5350,2435,10,6141,4,3,2,7574,114,5,3,131
"Marion County, Alabama",5847,2870,2606,2488,0,0,371,5094,2606,0,0,382,0,0,NA,NA,NA,NA,0,0,2977,5094,0,753,382,5094,2488,0,371,0,0,0,NA,NA,NA,0,0
"Marshall County, Alabama",7553,3745,3394,3294,24,7,397,6712,3394,24,7,444,13,2,0,15,0,9,0,436,3808,6688,17,841,444,6688,3294,17,397,29,13,11,1093,45,9,5,0
"Mobile County, Alabama",18741,7671,7597,4166,787,419,3105,12550,7597,787,419,3086,12,0,0,1010,244,157,1,170,11070,11763,368,6191,3086,11763,4166,368,3105,20,6,6,808,1501,647,3,297
"Monroe County, Alabama",10680,5268,2841,2529,18,10,2563,5388,2841,18,10,2729,1,1,0,0,0,20,0,306,5412,5370,8,5292,2729,5370,2529,8,2563,10,12,11,3811,114,0,2,0
"Montgomery County, Alabama",24574,11937,4863,4109,116,57,7715,9088,4863,116,57,7771,3,1,0,135,0,66,0,678,12637,8972,59,15486,7771,8972,4109,59,7715,14,19,18,10120,296,0,2,212
"Morgan County, Alabama",9841,4902,3338,3242,45,20,1576,6625,3338,45,20,1640,9,3,0,14,0,11,0,443,4939,6580,25,3216,1640,6580,3242,25,1576,21,9,6,2144,16,1,8,131
"Perry County, Alabama",19086,9170,4592,4129,22,8,5310,8743,4592,22,8,5033,0,0,0,16,0,31,0,134,9916,8721,14,10343,5033,8721,4129,14,5310,0,0,0,7660,143,0,1,95
"Pickens County, Alabama",17118,8310,4958,4389,7,4,3847,9354,4958,7,4,3917,10,4,15,46,0,12,0,699,8808,9347,3,7764,3917,9347,4389,3,3847,17,4,0,6298,70,0,6,120
"Pike County, Alabama",10108,4879,4196,3791,10,3,1026,7997,4196,10,3,1085,4,0,0,15,0,16,0,412,5229,7987,7,2111,1085,7987,3791,7,1026,12,7,7,3242,61,0,6,0
"Randolph County, Alabama",4973,2389,2293,2153,1,0,290,4447,2293,1,0,236,3,0,37,2,0,0,0,302,2584,4446,1,526,236,4446,2153,1,290,6,1,1,1199,24,0,3,0
"Russell County, Alabama",13513,6385,3351,2893,3,2,3776,6247,3351,3,2,3490,0,0,0,13,0,13,0,325,7128,6244,1,7266,3490,6244,2893,1,3776,2,0,0,5213,209,1,2,111
"St Clair County, Alabama",5638,2749,2316,2189,8,3,568,4513,2316,8,3,557,4,0,0,11,2,27,0,398,2889,4505,5,1125,557,4505,2189,5,568,7,4,4,1449,49,0,2,0
"Shelby County, Alabama",6112,2987,2302,2192,2,1,822,4496,2302,2,1,794,1,1,0,8,0,0,0,45,3125,4494,1,1616,794,4494,2192,1,822,7,9,8,1839,11,0,2,0
"Sumter County, Alabama",29937,14256,7473,6428,116,57,8149,14017,7473,116,57,7771,5,0,0,0,0,55,0,382,15681,13901,59,15920,7771,13901,6428,59,8149,5,0,0,6072,11,0,6,159
"Talladega County, Alabama",12587,6081,4016,3647,26,15,2479,7689,4016,26,15,2419,2,2,1,23,0,34,0,358,6506,7663,11,4898,2419,7663,3647,11,2479,12,11,9,3803,31,0,2,182
"Tallapoosa County, Alabama",6444,3180,2318,2106,7,4,943,4431,2318,7,4,1070,0,1,0,6,0,20,0,248,3264,4424,3,2013,1070,4424,2106,3,943,3,3,2,2160,62,0,0,0
"Tuscaloosa County, Alabama",16583,7996,5281,4662,86,48,3268,10029,5281,86,48,3286,0,0,1,7,0,31,0,0,8587,9943,38,6554,3286,9943,4662,38,3268,0,1,1,194,47,1,1,319
"Walker County, Alabama",4032,1994,1920,1900,1,0,117,3821,1920,1,0,94,7,1,0,0,0,8,0,0,2038,3820,1,211,94,3820,1900,1,117,12,4,3,1141,8,0,6,0
"Washington County, Alabama",5300,2551,1502,1341,23,15,1239,2866,1502,23,15,1195,0,0,0,12,0,24,0,201,2749,2843,8,2434,1195,2843,1341,8,1239,3,1,1,1951,44,2,1,0
"Wilcox County, Alabama",15278,7385,3208,2752,24,13,4674,5984,3208,24,13,4620,1,0,17,40,0,64,0,425,7893,5960,11,9294,4620,5960,2752,11,4674,4,4,4,5882,116,21,3,205
"Arkansas County, Arkansas",1346,598,571,409,5,2,174,985,571,5,2,187,0,0,37,0,0,3,0,24,748,980,3,361,187,980,409,3,174,1,0,0,207,9,2,0,0
"Benton County, Arkansas",2228,1066,1081,969,10,8,79,2060,1081,10,8,89,0,0,0,0,0,0,0,121,1162,2050,2,168,89,2050,969,2,79,0,0,0,384,0,0,0,0
"Carroll County, Arkansas",2844,1344,1439,1268,0,0,61,2707,1439,0,0,76,0,0,0,10,0,7,0,185,1500,2707,0,137,76,2707,1268,0,61,5,5,5,868,10,0,0,0
"Chicot County, Arkansas",3806,1723,650,455,3,0,1430,1108,650,3,0,1268,0,0,0,0,0,0,0,13,2083,1105,3,2698,1268,1105,455,3,1430,1,0,0,2193,0,0,0,0
"Clark County, Arkansas",2309,1087,884,738,0,0,338,1622,884,0,0,349,0,0,0,0,0,0,0,0,1222,1622,0,687,349,1622,738,0,338,0,0,0,844,0,0,0,0
"Conway County, Arkansas",2892,1341,1455,1240,5,1,92,2700,1455,5,1,100,0,0,0,3,0,29,0,0,1551,2695,4,192,100,2695,1240,4,92,1,2,2,787,0,0,0,22
"Crawford County, Arkansas",4266,1751,2201,1413,34,13,293,3648,2201,34,13,325,0,0,0,5,0,23,0,61,2515,3614,21,618,325,3614,1413,21,293,1,1,1,938,85,2,1,0
"Crittenden County, Arkansas",1561,708,621,475,11,6,227,1107,621,11,6,227,1,3,NA,NA,NA,NA,0,0,853,1096,5,454,227,1096,475,5,227,1,3,0,NA,NA,NA,0,0
"Desha County, Arkansas",1598,710,662,493,36,21,211,1191,662,36,21,196,0,0,0,0,0,0,0,0,888,1155,15,407,196,1155,493,15,211,0,0,0,8,0,0,0,0
"Franklin County, Arkansas",2665,1258,1213,1044,8,5,191,2265,1213,8,5,209,2,2,0,12,0,10,0,133,1407,2257,3,400,209,2257,1044,3,191,5,4,2,759,38,0,0,0
"Greene County, Arkansas",1586,765,795,741,0,0,26,1536,795,0,0,24,3,0,0,2,0,0,0,25,821,1536,0,50,24,1536,741,0,26,7,0,0,405,8,0,0,0
"Hempstead County, Arkansas",4921,2263,1634,1289,62,27,989,2985,1634,62,27,947,4,1,0,35,0,28,0,118,2658,2923,35,1936,947,2923,1289,35,989,8,4,3,1562,116,1,3,148
"Hot Spring County, Arkansas",1907,883,908,747,3,1,114,1658,908,3,1,135,0,0,0,0,0,0,0,60,1024,1655,2,249,135,1655,747,2,114,4,0,0,519,29,0,0,0
"Independence County, Arkansas",3669,1761,1643,1503,9,1,257,3155,1643,9,1,257,4,4,0,16,1,24,0,45,1908,3146,8,514,257,3146,1503,8,257,9,5,1,989,93,1,1,55
"Izard County, Arkansas",2240,1085,1086,1013,0,0,69,2099,1086,0,0,72,0,0,0,2,0,12,0,151,1155,2099,0,141,72,2099,1013,0,69,6,7,7,506,22,0,0,0
